[INFO] [1758710331.248809004] [sys_stats_publisher]: System Stats Publisher node started
[INFO] [1758710392.330612037] [sys_stats_publisher]: Published stats - CPU: 62.80%, Memory: 28.00%
[INFO] [1758710393.331771481] [sys_stats_publisher]: Published stats - CPU: 56.30%, Memory: 27.90%
[INFO] [1758710394.328979134] [sys_stats_publisher]: Published stats - CPU: 55.50%, Memory: 28.00%
[INFO] [1758710395.329216328] [sys_stats_publisher]: Published stats - CPU: 62.60%, Memory: 28.00%
[INFO] [1758710396.330025822] [sys_stats_publisher]: Published stats - CPU: 59.90%, Memory: 28.00%
[INFO] [1758710397.329955815] [sys_stats_publisher]: Published stats - CPU: 56.40%, Memory: 28.00%
[INFO] [1758710398.329850469] [sys_stats_publisher]: Published stats - CPU: 67.00%, Memory: 28.00%
[INFO] [1758710399.328856003] [sys_stats_publisher]: Published stats - CPU: 66.60%, Memory: 28.10%
[INFO] [1758710400.331060917] [sys_stats_publisher]: Published stats - CPU: 56.20%, Memory: 28.50%
[INFO] [1758710401.335162131] [sys_stats_publisher]: Published stats - CPU: 79.50%, Memory: 28.90%
[INFO] [1758710402.329669855] [sys_stats_publisher]: Published stats - CPU: 62.10%, Memory: 29.50%
[INFO] [1758710403.329104359] [sys_stats_publisher]: Published stats - CPU: 52.50%, Memory: 29.60%
[INFO] [1758710404.330021363] [sys_stats_publisher]: Published stats - CPU: 69.20%, Memory: 30.40%
[INFO] [1758710405.329568938] [sys_stats_publisher]: Published stats - CPU: 70.80%, Memory: 30.90%
[INFO] [1758710406.329248352] [sys_stats_publisher]: Published stats - CPU: 69.90%, Memory: 31.30%
[INFO] [1758710407.329487206] [sys_stats_publisher]: Published stats - CPU: 68.30%, Memory: 31.40%
[INFO] [1758710408.329349421] [sys_stats_publisher]: Published stats - CPU: 66.90%, Memory: 31.40%
[INFO] [1758710409.330834346] [sys_stats_publisher]: Published stats - CPU: 75.20%, Memory: 31.60%
[INFO] [1758710410.332501020] [sys_stats_publisher]: Published stats - CPU: 63.30%, Memory: 31.30%
